index,direction_x,label,weight,max_hold_bars,direction_y,ema_distance,atr,rsi,body,volatility_5,hour,session_asia,session_europe,session_us,time
2105,sell,0,0.5,11,sell,-0.00013529131944853794,0.00027043799020774176,51.698359484679216,0.0001421284805932766,0.00020053059325925054,11.0,0.0,1.0,0.0,2025-02-04 11:10:00+00:00
2118,buy,0,0.5,12,buy,7.709002621162919e-05,0.0002543741242716316,64.51044056080715,2.485640984658587e-05,0.00012534050136835676,11.0,0.0,1.0,0.0,2025-02-04 11:23:00+00:00
2140,sell,0,1.0,11,sell,5.759510884586302e-05,0.00024443754139542927,46.67345381270916,6.038936933963257e-05,0.00011277851185158623,11.0,0.0,1.0,0.0,2025-02-04 11:45:00+00:00
2145,buy,0,1.0,12,buy,3.837795243932206e-05,0.0002460382436594143,55.09519426640546,0.00017756533072430674,0.0001773789549430807,12.0,0.0,1.0,0.0,2025-02-04 11:50:00+00:00
2151,sell,0,0.5,13,sell,3.1590437765941295e-05,0.00025509397702394576,54.723709101825776,4.971917544294375e-05,0.00021090808588013787,12.0,0.0,1.0,0.0,2025-02-04 11:56:00+00:00
2159,buy,1,1.0,12,buy,0.00023215462294763435,0.00028333135506881306,66.31007743266248,6.741808259426718e-05,0.000269996083401804,12.0,0.0,1.0,0.0,2025-02-04 12:04:00+00:00
2160,sell,0,1.0,13,sell,0.00025588112545760634,0.0002785638232093288,65.2390231287919,3.903290651429849e-05,0.0002598167937411266,12.0,0.0,1.0,0.0,2025-02-04 12:05:00+00:00
2164,buy,1,1.0,13,buy,0.0003758772884475637,0.00029124486109436055,63.91355920614456,0.0002483374693348539,0.00019986291852564544,12.0,0.0,1.0,0.0,2025-02-04 12:09:00+00:00
2265,sell,1,1.0,24,sell,0.0003609243016168201,0.000455095631540175,45.707162232248436,0.00022251852113488302,0.00032359020126624126,14.0,0.0,1.0,0.0,2025-02-04 13:50:00+00:00
2284,buy,0,1.0,25,buy,0.0002703038111729401,0.00047837308984191454,58.10347969765675,0.0005575306333090614,0.0003068044515264209,14.0,0.0,1.0,0.0,2025-02-04 14:09:00+00:00
2332,sell,0,1.0,17,sell,0.0006895720195200309,0.0005737575716625892,54.16066160567649,0.0003906683067696931,0.0002990338845713375,15.0,0.0,1.0,0.0,2025-02-04 14:57:00+00:00
2333,buy,0,1.0,17,buy,0.0006890527055636736,0.0005692942669013633,57.851488241130845,0.00031665555440233583,0.0003281246502454577,15.0,0.0,1.0,0.0,2025-02-04 14:58:00+00:00
2334,sell,0,1.0,18,sell,0.0006800493082564935,0.0005693313528129086,56.17318485283715,0.00011506435158606727,0.00029605486877000724,15.0,0.0,1.0,0.0,2025-02-04 14:59:00+00:00
2335,buy,0,1.0,21,buy,0.0006674151035102006,0.0005686508109136058,55.55448653079204,3.976387996932516e-05,0.000285462648285047,15.0,0.0,1.0,0.0,2025-02-04 15:00:00+00:00
